id,title,description,type,release_year,genres,production_countries,Netflix Link,TMDb Trailer,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,type_netflix
tm84618,Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,MOVIE,1976,"crime, drama",US,https://www.netflix.com/watch/18907685,https://www.youtube.com/watch?v=UUxD4-dEzn0,113,8.3,795222.0,40.965,8.179,0
tm127384,Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",MOVIE,1975,"comedy, fantasy",GB,https://www.netflix.com/watch/771476,https://www.youtube.com/watch?v=RDM75-oXGmQ,91,8.2,530877.0,15.461,7.811,0
tm14873,Dirty Harry,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",MOVIE,1971,"thriller, crime, action",US,https://www.netflix.com/watch/445522,https://www.youtube.com/watch?v=K6Vi1VurN9s,102,7.7,153463.0,12.817,7.5,0
tm98978,The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",MOVIE,1980,"romance, drama",US,https://www.netflix.com/watch/318448,https://www.youtube.com/watch?v=1nC0EdXk_2g,104,5.8,69053.0,50.324,6.156,0
tm119281,Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",MOVIE,1967,"drama, crime, action",US,https://www.netflix.com/watch/19054266,https://www.youtube.com/watch?v=hZpm1zj9510,110,7.7,111189.0,15.687,7.5,0
tm67378,The Professionals,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,MOVIE,1966,"western, action, european",US,https://www.netflix.com/watch/877351,https://www.youtube.com/watch?v=fU6TTdGelDs,117,7.3,16168.0,13.123,7.1,0
tm44204,The Guns of Navarone,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",MOVIE,1961,"war, action, drama","US, GB",https://www.netflix.com/watch/60000061,https://www.youtube.com/watch?v=MhQvkPMNt70,158,7.5,50150.0,13.844,7.3,0
tm69997,Richard Pryor: Live in Concert,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",MOVIE,1979,"comedy, documentation",US,https://www.netflix.com/watch/907090,https://www.youtube.com/watch?v=EbWwR7p_Pk8,78,8.1,5141.0,4.718,7.5,0
tm16479,White Christmas,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,MOVIE,1954,"romance, comedy, music",US,https://www.netflix.com/watch/60003082,https://www.youtube.com/watch?v=3n3-UtakD3I,115,7.5,42373.0,8.915,7.2,0
tm135083,Cairo Station,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",MOVIE,1958,"drama, crime, comedy",EG,https://www.netflix.com/watch/70124714,https://www.youtube.com/watch?v=bOJpiUZphTE,77,7.5,4385.0,5.546,7.3,0
