title,description,Genre,Actors,Poster,imdb_score,tags
Taxi Driver,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,"Crime, Drama","Frank Adu, Victor Argo, Diahnne Abbott, Gino Ardito",https://images-na.ssl-images-amazon.com/images/M/MV5BNGQxNDgzZWQtZTNjNi00M2RkLWExZmEtNmE1NjEyZDEwMzA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,8.3,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.MOVIECrime, DramaUSFrank Adu, Victor Argo, Diahnne Abbott, Gino Ardito"
Monty Python and the Holy Grail,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".","Adventure, Comedy, Fantasy","Eric Idle, Terry Gilliam, John Cleese, Graham Chapman",https://images-na.ssl-images-amazon.com/images/M/MV5BN2IyNTE4YzUtZWU0Mi00MGIwLTgyMmQtMzQ4YzQxYWNlYWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,8.2,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".MOVIEAdventure, Comedy, FantasyGBEric Idle, Terry Gilliam, John Cleese, Graham Chapman"
Dirty Harry,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.","Action, Crime, Thriller","Harry Guardino, Clint Eastwood, Reni Santoni, John Vernon","https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3MDQ4Njg5MV5BMl5BanBnXkFtZTgwMTU2OTM5NDE@._V1._CR96,139,852,1256_SY132_CR0,0,89,132_AL_.jpg_V1_SX300.jpg",7.7,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.MOVIEAction, Crime, ThrillerUSHarry Guardino, Clint Eastwood, Reni Santoni, John Vernon"
The Blue Lagoon,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?","Adventure, Drama, Romance","Brooke Shields, Leo McKern, William Daniels, Christopher Atkins",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwNTM5MDU2OF5BMl5BanBnXkFtZTgwNjI0OTgzMTE@._V1_SX300.jpg,5.8,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?MOVIEAdventure, Drama, RomanceUSBrooke Shields, Leo McKern, William Daniels, Christopher Atkins"
Bonnie and Clyde,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.","Action, Biography, Crime, Drama","Michael J. Pollard, Faye Dunaway, Gene Hackman, Warren Beatty",https://images-na.ssl-images-amazon.com/images/M/MV5BYzQ3ODZmOTktYWRiYy00YjZjLWFkYTctMjA4MmYxNTVmN2I2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,7.7,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.MOVIEAction, Biography, Crime, DramaUSMichael J. Pollard, Faye Dunaway, Gene Hackman, Warren Beatty"
The Professionals,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,"Action, Adventure, Western","Robert Ryan, Burt Lancaster, Woody Strode, Lee Marvin",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3Nzg1MjY1NF5BMl5BanBnXkFtZTgwNDg2NjQzMTE@._V1_SX300.jpg,7.3,"An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.MOVIEAction, Adventure, WesternUSRobert Ryan, Burt Lancaster, Woody Strode, Lee Marvin"
The Guns of Navarone,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.","Action, Adventure, Drama, War","Gregory Peck, Anthony Quinn, David Niven, Stanley Baker",https://m.media-amazon.com/images/M/MV5BMDIyNDA3NGMtNWFmMi00NDRlLWEzMTEtOGIxMDZhZmRmYjJlXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,7.5,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.MOVIEAction, Adventure, Drama, WarUS, GBGregory Peck, Anthony Quinn, David Niven, Stanley Baker"
Richard Pryor: Live in Concert,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.","Documentary, Comedy","Richard Pryor, Patti LaBelle",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NDkwMzYwNF5BMl5BanBnXkFtZTYwNTMzMTQ5._V1_SX300.jpg,8.1,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.MOVIEDocumentary, ComedyUSRichard Pryor, Patti LaBelle"
White Christmas,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,"Comedy, Musical, Romance","Danny Kaye, Vera-Ellen, Bing Crosby, Rosemary Clooney",https://images-na.ssl-images-amazon.com/images/M/MV5BYjI0ZTk0ZjQtZTMzOS00NDdmLTk0YzUtZTQ4NGRkNWFhZTkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,7.5,"Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.MOVIEComedy, Musical, RomanceUSDanny Kaye, Vera-Ellen, Bing Crosby, Rosemary Clooney"
Cairo Station,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.","Crime, Drama","Hassan el Baroudi, Farid Shawqi, Hind Rustum, Youssef Chahine",https://m.media-amazon.com/images/M/MV5BNGE1YTc4MTEtNGFkZC00YmFkLWFiZDItOTljMTI1YTM2NDRiXkEyXkFqcGdeQXVyMjI4NzAzNjg@._V1_SX300.jpg,7.5,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.MOVIECrime, DramaEGHassan el Baroudi, Farid Shawqi, Hind Rustum, Youssef Chahine"
